Nr;Ort;Name;Straße;PLZ;Telefon
504;Wetzlar;Jugendherberge Wetzlar;Richard-Schirrmann-Str. 3;35578 Wetzlar;+49 6441 67905-0
505;Wiesbaden;Jugendherberge Wiesbaden;Blücherstr. 66–68;65195 Wiesbaden;+49 611 48657
506;Willingen;Jugendherberge Willingen;Am Lukasheim 9–12;34508 Willingen-Schwalefeld;+49 5632 6347
511;Bad Segeberg;Jugendherberge Bad Segeberg;Kastanienweg 1;23795 Bad Segeberg;+49 4551 2531
512;Borgwedel;Jugendherberge Borgwedel;Kreisstr. 17;24857 Borgwedel;+49 4354 219
513;Fehmarn;Jugendherberge Fehmarn;Mathildenstr. 34;23769 Fehmarn;+49 4371 2150
514;Büsum;Jugendherberge Büsum;Dr.-Martin-Bahr-Str. 1;25761 Büsum;+49 4834 93371
515;Cuxhaven-Duhnen;Jugendherberge Cuxhaven-Duhnen;Schlensenweg 2;27476 Cuxhaven-Duhnen;+49 4721 48552
516;Eckernförde;Jugendherberge Eckernförde;Sehestedter Str. 27;24340 Eckernförde;+49 4351 2154
518;Flensburg;Jugendherberge Flensburg;Fichtestr. 16;24943 Flensburg;+49 461 37742
519;Friedrichstadt;Jugendherberge Friedrichstadt;Ostdeutsche Str. 1;25840 Friedrichstadt;+49 4881 936261
520;Geesthacht;Jugendherberge Geesthacht;Berliner Str. 117;21502 Geesthacht;+49 4152 2356
522;Hamburg „Horner Rennbahn“;Jugendherberge Hamburg Horner Rennbahn;Rennbahnstr. 100;22111 Hamburg;+49 40 5701590
523;Hamburg „Auf dem Stintfang“;Jugendherberge Hamburg Stintfang;Alfred-Wegener-Weg 5;20459 Hamburg;+49 40 5701590
524;Heide;Jugendherberge Heide;Poststr. 4;25746 Heide;+49 481 71575
525;Helgoland „Haus der Jugend“;Jugendherberge Helgoland;Postfach 580;27487 Helgoland;+49 4725 341
526;Hörnum auf Sylt;Jugendherberge Hörnum;Friesenplatz 2;25997 Hörnum/Sylt;+49 4651 880294
527;Husum;Jugendherberge Husum;Schobüller Str. 34;25813 Husum;+49 4841 2714
530;Kappeln;Jugendherberge Kappeln;Eckernförder Str. 2;24376 Kappeln;+49 4642 8550
531;Kiel;Jugendherberge Kiel;Johannestr. 1;24143 Kiel;+49 431 731488
532;Lauenburg;Jugendherberge Lauenburg;Am Sportplatz 7;21481 Lauenburg;+49 4153 2598
534;List auf Sylt;Jugendherberge List;Mövenberg;25992 List/Sylt;+49 4651 870397
535;Lübeck „Altstadt“;Jugendherberge Lübeck Altstadt;Mengstr. 33;23552 Lübeck;+49 451 7020399
536;Lübeck „Vor dem Burgtor“;Jugendherberge Lübeck Burgtor;Am Gertrudenkirchhof 4;23568 Lübeck;+49 451 33433
537;Bad Malente;Jugendherberge Bad Malente;Kellerseestr. 48;23714 Malente-Gremsmühlen;+49 4523 1723
538;Mölln;Jugendherberge Mölln;Am Ziegelsee 2;23879 Mölln;+49 4542 2601
539;Neumünster;Jugendherberge Neumünster;Gartenstr. 32;24534 Neumünster;+49 4321 419960
542;Otterndorf;Jugendherberge Otterndorf;Schleusenstr. 1–7;21762 Otterndorf;+49 4751 3165
543;Plön;Jugendherberge Plön;Ascheberger Str. 67;24306 Plön;+49 4522 2576
551;Stade;Jugendherberge Stade;Kehdinger Mühren 11;21682 Stade;+49 4141 46368
552;Tönning;Jugendherberge Tönning;Badallee 28;25832 Tönning;+49 4861 1280
554;Westensee;Jugendherberge Westensee;Am See 24;24259 Westensee;+49 4305 542
555;Wingst;Jugendherberge Wingst;Molkereistr. 11;21789 Wingst;+49 4778 262
556;Wittdün auf Amrum;Jugendherberge Wittdün;Mittelstr. 1;25946 Wittdün/Amrum;+49 4682 2010
557;Wyk auf Föhr;Jugendherberge Wyk;Fehrstieg 41;25938 Wyk auf Föhr;+49 4681 2355
558;Rotenburg (Wümme);Jugendherberge Rotenburg;Verdener Str. 104;27356 Rotenburg (Wümme);+49 4261 83041
560;Leer;Südsee-Jugendherberge;Süderstr.;26789 Leer;+49 491 28127
563;Juist;Jugendherberge Juist;Loogster Pad 20;26571 Juist;+49 4935 92910
565;Wangerooge;Jugendherberge Wangerooge;Westturm;26486 Wangerooge;+49 4469 439
566;Norddeich;Jugendherberge Norddeich;Strandstr. 1;26506 Norden-Norddeich;+49 4931 8064
570;Worpswede;Jugendherberge Worpswede;Hammeweg 2;27726 Worpswede;+49 4792 1360
575;Osnabrück;Jugendherberge Osnabrück;Iburger Str. 183a;49082 Osnabrück;+49 541 54284
576;Bad Bentheim;Jugendherberge Bad Bentheim;Am Wasserturm 34;48455 Bad Bentheim;+49 5922 2480
578;Bremen;Jugendherberge Bremen;Kalkstr. 6;28195 Bremen;+49 421 163820
581;Emden;Jugendherberge Emden;Thorner Str. 3;26725 Emden;+49 4921 23797
584;Langeoog;Jugendherberge Langeoog „Domäne Melkhörn“;;26465 Langeoog;+49 4972 276
585;Esens-Bensersiel;Jugendherberge Bensersiel;Grashaus Flage 2;26427 Esens-Bensersiel;+49 4971 3717
586;Borkum;Jugendherberge Borkum;Reedestr. 231;26757 Borkum;+49 4922 579
588;Norderney Dünensender;Jugendherberge Norderney;Am Dünensender 3;26548 Norderney;+49 4932 2574
592;Thülsfelder Talsperre;Jugendherberge Thülsfelder Talsperre;Am Campingplatz 7;49681 Garrel-Petersfeld;+49 4495 9275600
593;Lingen;Jugendherberge Lingen;Lengericher Str. 62;49811 Lingen/Ems;+49 591 973060
599;Schillighörn;Jugendherberge Schillighörn;Inselstr. 6;26434 Wangerland-Schillig;+49 4426 371
602;Bad Zwischenahn;Jugendherberge Bad Zwischenahn;Schirrmannweg 14;26160 Bad Zwischenahn;+49 4403 2393
603;Verden (Aller);Jugendherberge Verden;Saumurplatz 2;27283 Verden (Aller);+49 4231 61163
604;Damme;Jugendherberge Damme;Neuer Jugendherbergsweg 2;49401 Damme;+49 5491 96720
605;Bad Saarow;Jugendherberge Bad Saarow;Dorfstr. 20;15526 Bad Saarow;+49 33631 2664
609;Burg (Spreewald);Jugendherberge Burg;Jugendherbergsweg 8;03096 Burg (Spreewald);+49 35603 225
611;Cottbus;Jugendherberge Cottbus;Klosterplatz 2–3;03046 Cottbus;+49 355 22558
612;Berlin – Am Wannsee;Jugendherberge Am Wannsee;Badeweg 1;14129 Berlin;+49 30 8032034
613;Berlin-International;Jugendherberge Berlin International;Kluckstr. 3;10785 Berlin;+49 30 747687910
614;Bremsdorfer Mühle;Jugendherberge Bremsdorfer Mühle;Bremsdorfer Mühle 1;15890 Schlaubetal OT Bremsdorf;+49 33654 272
615;Berlin – Ernst Reuter;Jugendherberge Ernst Reuter;Hermsdorfer Damm 48–50;13467 Berlin;+49 30 4041610
616;Liepnitzsee;Jugendherberge Liepnitzsee;Wandlitzer Str. 6;16348 Wandlitz;+49 33397 21659
618;Prebelow;Jugendherberge Prebelow;Prebelow 2;16831 Rheinsberg;+49 33921 70222
619;Köriser See;Jugendherberge Köriser See;Am Kleinköriser See 5;15746 Groß Köris;+49 33766 62730
620;Köthener See;Jugendherberge Köthener See;Dorfstr. 20;15748 Märkisch Buchholz;+49 33765 80555
621;Lübben;Jugendherberge Lübben;Zum Wendenfürsten 8;15907 Lübben;+49 3546 3046
622;Milow;Jugendherberge Milow – Carl Bolle;Friedenstr. 21;14715 Milower Land;+49 3386 280361
623;Wandlitz;Jugendherberge Wandlitz;Prenzlauer Chaussee 146;16348 Wandlitz;+49 33397 22109
626;Bielefeld;Jugendherberge Bielefeld;Hermann-Kleinewächter-Str. 1;33602 Bielefeld;+49 521 52205-0
627;Alfsee;Jugendherberge Alfsee;Westerfeldstr. 72;49597 Rieste-Alfsee;+49 5464 9208-0
629;Wernigerode;Jugendherberge Wernigerode;Am Eichberg 5;38855 Wernigerode;+49 3943 606176
631;Wismar;Jugendherberge Wismar;Juri-Gagarin-Ring 30a;23966 Wismar;+49 3841 32680
632;Greifswald;Jugendherberge Greifswald;Pestalozzistr. 11/12;17489 Greifswald;+49 3834 51690
637;Duisburg Landschaftspark;Jugendherberge Duisburg Landschaftspark;Lösorter Str. 133;47137 Duisburg;+49 203 41790-0
638;Meppen;Jugendherberge Meppen;Helter Damm 1;49716 Meppen;+49 5931 8838780
639;Niebüll;Jugendherberge Niebüll;Mühlenstr. 65;25899 Niebüll;+49 4661 937890
640;Maasholm;Selbstversorgerhaus Exhof;Exhof, Seeberg 1;24404 Maasholm;+49 4642 95840
643;Possenhofen;Jugendherberge Possenhofen;Kurt-Stieler-Str. 18;82343 Pöcking;+49 8157 9966-11
644;Kelbra;Jugendherberge Kelbra;Forsthaus 90a;06537 Kelbra;+49 34651 55890
645;Bad Kissingen „Der Heiligenhof“;Jugendgästehaus Der Heiligenhof;Alte Euerdorfer Str. 1;97688 Bad Kissingen;+49 971 7147-0
646;Ravensbrück;Jugendherberge Ravensbrück;Straße der Nationen 3;16798 Fürstenberg/Havel;+49 33093 60590
656;Berchtesgaden;Jugendherberge Berchtesgaden;Struberberg 6;83483 Bischofswiesen;+49 8652 9437-0
658;Erfurt;Jugendherberge Medienherberge;Klingenstr. 4;99094 Erfurt;+49 361 56267-05
667;Westerland auf Sylt;Jugendherberge Westerland;Lorens-de-Hahn-Str. 44–46;25980 Westerland/Sylt;+49 4651 8357825
668;Xanten;Jugendherberge Xanten;Bankscher Weg 4;46509 Xanten;+49 2801 9850-0
669;Wirberg;Jugendherberge Wirberg;Sessenreuther Str. 31;95339 Wirberg;+49 9227 6432
670;Sellin;Jugendherberge Sellin;Kiefernweg 4;18586 Ostseebad Sellin;+49 38303 95099
671;Potsdam;Jugendherberge Potsdam;Schulstr. 9;14482 Potsdam;+49 331 5813-100
672;Scharbeutz;Jugendherberge Scharbeutz;Strandallee 98;23683 Scharbeutz;+49 4503 72090
678;Homburg;Hohenburg-Jugendherberge;Am Mühlgraben 30;66424 Homburg;+49 6841 3679
684;Jever;Jugendherberge Jever;Dr.-Fritz-Blume-Weg 4;26441 Jever;+49 4461 909202
